"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"G***";"A";1;"LOGO";;;
2;"D3";"D_SOD-123";1;"MBR0540";;;
3;"J1,J2,J3,J4";"SolderWirePad_1x02_P3.81mm_Drill0.8mm";4;"Conn_01x02";;;
4;"L1";"L_7.3x7.3_H4.5";1;"4µH";;;
5;"R1,R2,R4";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"1K";;;
6;"R3";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1.2K";;;
7;"R5";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"100";;;
8;"R6";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"68";;;
9;"U1";"SOP-8-208mil";1;"TP4056";;;
10;"U2";"SOT-23-6";1;"DW01A";;;
11;"U3";"SOT-23-6";1;"FS8205A-TSSOP-8";;;
12;"U4";"SOT-23-5";1;"LT1615";;;
13;"C1";"C_0603_1608Metric";1;"4µ7";;;
14;"C2";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"0.1µF";;;
15;"C3";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"10µF";;;
16;"C4";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"4µ7F";;;
17;"C5";"C_0603_1608Metric";1;"1nF";;;
18;"C6";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1µF";;;
19;"D1,D2";"D_0603_1608Metric";2;"D";;;
